Run,App_Name,Framework,Strategy,Profile,URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js CSR",Next.js,"Client-Side Rendering",MOBILE,https://render-strategy-demo-csr-next-app-c.vercel.app/,2025-06-03T16:14:36.455Z,0.45,100,1.62,99,0.87,100,1.62,100,N/A,100,N/A,100
2,"Next.js CSR",Next.js,"Client-Side Rendering",MOBILE,https://render-strategy-demo-csr-next-app-c.vercel.app/,2025-06-03T16:14:46.502Z,0.29,100,1.23,100,1.49,100,1.23,100,N/A,100,N/A,100
